id,name,start,end,location
jesus,Jesus,-0003-01-01,0033-01-01,Judea
john-evangelist,John the Evangelist,0006-01-01,0100-01-01,Ephesus
paul,Paul,0005-01-01,0065-01-01,Asia Minor
peter,Peter,0001-01-01,0066-01-01,Rome
papias,Papias of Hieropolis,0060-01-01,0130-01-01,Hierapolis
clement-rome,Clement of Rome,0035-01-01,0099-01-01,Rome
ignatius-antioch,Ignatius of Antioch,0035-01-01,0107-01-01,Antioch
polycarp,Polycarp,0069-01-01,0155-01-01,Smyrna
justin-martyr,Justin Martyr,0100-01-01,0165-01-01,Rome
clement-alexandria,Clement of Alexandria,0150-01-01,0215-01-01,Alexandria
tatians,Tatian,0120-01-01,0180-01-01,Rome
irenaeus,Irenaeus of Lyons,0130-01-01,0202-01-01,"Lyons, Gaul"
tertullian,Tertullian,0155-01-01,0240-01-01,Carthage
hippolytus,Hippolytus of Rome,0170-01-01,0235-01-01,Rome
perpetua,Perpetua,0185-01-01,0203-01-01,Carthage
origen,Origen,0185-01-01,0254-01-01,Alexandria
gregory-thaumaturgus,Gregory Thaumaturgus,0213-01-01,0270-01-01,"Neocaesarea, Pontus"
dionysius-alexandria,Dionysius of Alexandria,0210-01-01,0264-01-01,Alexandria
cyprian,Cyprian,0210-01-01,0258-01-01,Carthage
anthony-great,Anthony the Great,0251-01-01,0356-01-01,Egyptian Desert
lucian-antioch,Lucian of Antioch,0250-01-01,0312-01-01,Antioch
alexander-alexandria,Alexander of Alexandria,0280-01-01,0328-01-01,Alexandria
athanasius,Athanasius,0296-01-01,0373-01-01,Alexandria
macrina-younger,Macrina the Younger,0327-01-01,0379-07-19,Cappadocia / Pontus
basil-great,Basil the Great,0330-01-01,0379-01-01,"Caesarea, Cappadocia"
gregory-nazianzus,Gregory of Nazianzus,0330-01-01,0389-01-01,"Arianzus, Cappadocia"
gregory-nyssa,Gregory of Nyssa,0335-01-01,0395-01-01,"Nyssa, Cappadocia"
ambrose-milan,Ambrose of Milan,0339-01-01,0397-01-01,Milan
jerome,Jerome,0347-01-01,0420-01-01,Bethlehem
john-chrysostom,John Chrysostom,0349-01-01,0407-01-01,Constantinople
arsenius-great,Arsenius the Great,0350-01-01,0445-01-01,Egyptian Desert
augustine,Augustine of Hippo,0354-01-01,0430-01-01,Hippo Regius
didymus-blind,Didymus the Blind,0313-01-01,0398-01-01,Alexandria
rufinus-aquileia,Rufinus of Aquileia,0345-01-01,0411-01-01,Aquileia / Sicily
olympias,Olympias the Deaconess,0365-01-01,0408-07-25,Constantinople / Nicomedia
theophilus-alexandria,Theophilus of Alexandria,0355-01-01,0412-10-15,Alexandria
cyril-alexandria,Cyril of Alexandria,0376-01-01,0444-01-01,Alexandria
nestorius,Nestorius of Constantinople,0381-01-01,0451-01-01,Constantinople / Egypt
patrick,Patrick,0385-01-01,0461-01-01,Ireland
prosper-aquitaine,Prosper of Aquitaine,0390-01-01,0455-01-01,Aquitaine
pope-leo-1,Pope Leo I,0400-01-01,0461-01-01,Rome
faustus-riez,Faustus of Riez,0408-01-01,0490-01-01,"Riez, Gaul"
claudianus-mamertus,Claudianus Mamertus,0430-01-01,0473-01-01,"Vienne, Gaul"
mamertus,Mamertus,0425-01-01,0475-01-01,"Vienne, Gaul"
lucidus,Lucidus,0425-01-01,0485-01-01,Gaul
pope-simplicius,Pope Simplicius,0430-01-01,0483-01-01,Rome
benedict-nursia,Benedict of Nursia,0480-01-01,0547-01-01,Monte Cassino
caesarius-arles,Caesarius of Arles,0468-01-01,0542-01-01,"Arles, Gaul"
columba,Columba,0521-01-01,0597-01-01,Iona
pope-gregory-great,Pope Gregory the Great,0540-01-01,0604-01-01,Rome
isidore-seville,Isidore of Seville,0560-01-01,0636-01-01,Seville
maximus-confessor,Maximus the Confessor,0580-01-01,0662-01-01,Constantinople
eligius,Eligius,0588-01-01,0660-01-01,"Noyon, Gaul"
audoin,Audoin,0610-01-01,0684-01-01,"Rouen, Gaul"
hilda-whitby,Hilda of Whitby,0614-01-01,0680-01-01,"Whitby, England"
gertrude-nivelles,Gertrude of Nivelles,0628-01-01,0659-01-01,"Nivelles, Belgium"
willibrord,Willibrord,0658-01-01,0739-01-01,"Utrecht, Frisia"
boniface,Boniface,0675-01-01,0754-01-01,"Mainz, Germania"
bede,The Venerable Bede,0673-01-01,0735-01-01,"Jarrow, England"
beatus-liebana,Beatus of Liebana,0730-01-01,0786-01-01,"Liébana, Spain"
paulinus-aquileia,Paulinus II of Aquileia,0726-01-01,0802-01-01,"Aquileia, Italy"
alcuin-york,Alcuin of York,0735-01-01,0804-01-01,"Tours, Francia"
rabanus-maurus,Rabanus Maurus,0780-01-01,0856-01-01,"Mainz, Germania"
kassia-byzantium,Kassia of Byzantium,0800-01-01,0843-01-01,Constantinople
john-scotus-eriugena,John Scotus Eriugena,0800-01-01,0877-01-01,Francia
photios-constantinople,Photios I of Constantinople,0810-01-01,0893-01-01,Constantinople
dhuoda-uzes,Dhuoda of Uzes,0810-01-01,0844-01-01,"Uzès, Francia"
cyril-methodius,Cyril and Methodius,0815-01-01,0885-01-01,Moravia
remigius-auxerre,Remigius of Auxerre,0841-01-01,0908-01-01,"Auxerre, Francia"
odo-cluny,Odo of Cluny,0878-01-01,0942-01-01,"Cluny, Burgundy"
dunstan,Dunstan,0909-01-01,0988-01-01,"Canterbury, England"
sylvester-ii,Sylvester II / Gerbert of Aurillac,0946-01-01,1003-01-01,Rome
oswald-worcester,Oswald of Worcester,0945-01-01,0992-01-01,"Worcester, England"
adalbert-prague,Adalbert of Prague,0956-01-01,0997-01-01,"Prague, Bohemia"
herluin-bec,Herluin of Bec,0995-01-01,1078-01-01,"Bec, Normandy"
lanfranc,Lanfranc,1007-01-01,1089-01-01,"Canterbury, England"
anselm,Anselm,1033-01-01,1109-01-01,"Canterbury, England"
anselm-laon,Anselm of Laon,1045-01-01,1117-01-01,"Laon, France"
hildegard-bingen,Hildegard of Bingen,1098-01-01,1179-01-01,"Bingen, Germany"
bernard-clairvaux,Bernard of Clairvaux,1090-01-01,1153-01-01,"Clairvaux, France"
peter-waldo,Peter Waldo,1140-01-01,1205-01-01,"Lyon, France"
william-auxerre,William of Auxerre,1150-01-01,1231-01-01,"Paris, France"
dominich,Dominic,1172-01-01,1221-01-01,"Bologna, Italy"
francis-assisi,Francis of Assisi,1182-01-01,1226-01-01,"Assisi, Italy"
robert-grosseteste,Robert Grosseteste,1175-01-01,1253-01-01,"Lincoln, England"
nicephorus-blemmydes,Nicephorus Blemmydes,1197-01-01,1272-01-01,"Nicaea, Byzantine Empire"
