Service Song,Formatting,Order,Service,Song,Service Tags,Notes,Attachments
, - ,,2025-01-05 AM @ Durham (Lead: Matt Brown),,,,
We Will Feast in the House of Zion (McCracken), - ,Closer,2024-06-23 AM @ Durham (Lead: Matt Brown),We Will Feast in the House of Zion (McCracken),,,
Better is One Day, - ,Offering,2024-06-23 AM @ Durham (Lead: Matt Brown),Better is One Day,,,
Lord I Need You (Matt Maher), - ,Opener,2024-06-23 AM @ Durham (Lead: Matt Brown),Lord I Need You (Matt Maher),,,
Thy Mercy My God, - ,Opener,2024-06-23 AM @ Durham (Lead: Matt Brown),Thy Mercy My God,,,
Come Thou Fount, - ,Opener,2024-06-23 AM @ Durham (Lead: Matt Brown),Come Thou Fount,,,
How Deep the Father's Love for Us, - ,Closer,2024-06-16 AM @ Durham (Lead: Matt Brown),How Deep the Father's Love for Us,,,
Jesus Lover of My Soul, - ,Offering,2024-06-16 AM @ Durham (Lead: Matt Brown),Jesus Lover of My Soul,,,
Whate'er My God Ordains Is Right (RUF), - ,Opener,2024-06-16 AM @ Durham (Lead: Matt Brown),Whate'er My God Ordains Is Right (RUF),,,
40 (I Will Sing), - ,Opener,2024-06-16 AM @ Durham (Lead: Matt Brown),40 (I Will Sing),,,
Blessed Be Your Name, - ,Opener,2024-06-16 AM @ Durham (Lead: Matt Brown),Blessed Be Your Name,,,
On Jordan's Stormy Banks, - ,Closer,2024-06-09 AM @ Durham (Lead: Matt Brown),On Jordan's Stormy Banks,,,
Doxology, - ,Offering,2024-06-09 AM @ Durham (Lead: Matt Brown),Doxology,,,
Great is Thy Faithfulness (trad), - ,Offering,2024-06-09 AM @ Durham (Lead: Matt Brown),Great is Thy Faithfulness (trad),,,
For All the Saints, - ,Opener,2024-06-09 AM @ Durham (Lead: Matt Brown),For All the Saints,,,
O Church Arise - INCLUDE CHORUS, - ,Opener,2024-06-09 AM @ Durham (Lead: Matt Brown),O Church Arise - INCLUDE CHORUS,,,
Praise to the Lord the Almighty (trad), - ,Opener,2024-06-09 AM @ Durham (Lead: Matt Brown),Praise to the Lord the Almighty (trad),,,
God Be Merciful to Me, - ,Prelude,2024-06-02 AM @ Durham (Lead: Matt Brown),God Be Merciful to Me,,,
Revelation Song, - ,Opener,2024-06-02 AM @ Durham (Lead: Matt Brown),Revelation Song,,,
I Sought the Lord (Thou Lovest Me), - ,Offering,2024-06-02 AM @ Durham (Lead: Matt Brown),I Sought the Lord (Thou Lovest Me),,,
Gloria Patri (Ellis), - ,Offering,2024-06-02 AM @ Durham (Lead: Matt Brown),Gloria Patri (Ellis),,,
Come All Ye Pining Hungry Poor, - ,Communion,2024-06-02 AM @ Durham (Lead: Matt Brown),Come All Ye Pining Hungry Poor,,,
Lord Have Mercy, - ,Communion,2024-06-02 AM @ Durham (Lead: Matt Brown),Lord Have Mercy,,,
Create in Me a Clean Heart, - ,Communion,2024-06-02 AM @ Durham (Lead: Matt Brown),Create in Me a Clean Heart,,,
Near the Cross, - ,Communion,2024-06-02 AM @ Durham (Lead: Matt Brown),Near the Cross,,,
The Power of the Cross (Oh to See the Dawn), - ,Communion,2024-06-02 AM @ Durham (Lead: Matt Brown),The Power of the Cross (Oh to See the Dawn),,,
O the Deep Deep Love of Jesus, - ,Closer,2024-06-02 AM @ Durham (Lead: Matt Brown),O the Deep Deep Love of Jesus,,,
For the Beauty of the Earth, - ,Prelude,2024-05-26 AM @ Durham (Lead: Matt Brown),For the Beauty of the Earth,,,
Sing Oh Sky, - ,Opener,2024-05-26 AM @ Durham (Lead: Matt Brown),Sing Oh Sky,,,
Children of the Living God (Fernando Ortega), - ,Opener,2024-05-26 AM @ Durham (Lead: Matt Brown),Children of the Living God (Fernando Ortega),,,
Speak O Lord, - ,Offering,2024-05-26 AM @ Durham (Lead: Matt Brown),Speak O Lord,,,
Doxology, - ,Offering,2024-05-26 AM @ Durham (Lead: Matt Brown),Doxology,,,
O Love That Will Not Let Me Go , - ,Closer,2024-05-26 AM @ Durham (Lead: Matt Brown),O Love That Will Not Let Me Go ,,,
His Mercy is More, - ,Prelude,2024-05-19 AM @ Durham (Lead: Matt Brown),His Mercy is More,,,
Be Thou My Vision, - ,Opener,2024-05-19 AM @ Durham (Lead: Matt Brown),Be Thou My Vision,,,
How Firm a Foundation, - ,Opener,2024-05-19 AM @ Durham (Lead: Matt Brown),How Firm a Foundation,,,
Isaiah 43, - ,Offering,2024-05-19 AM @ Durham (Lead: Matt Brown),Isaiah 43,,,
Gloria Patri (Ellis), - ,Offering,2024-05-19 AM @ Durham (Lead: Matt Brown),Gloria Patri (Ellis),,,
My Hope is Built on Nothing Less, - ,Closer,2024-05-19 AM @ Durham (Lead: Matt Brown),My Hope is Built on Nothing Less,,,
Everlasting God, - ,Prelude,2024-05-12 AM @ Durham (Lead: Matt Brown),Everlasting God,,,
What Wondrous Love is This, - ,Opener,2024-05-12 AM @ Durham (Lead: Matt Brown),What Wondrous Love is This,,,
Holy Holy Holy, - ,Opener,2024-05-12 AM @ Durham (Lead: Matt Brown),Holy Holy Holy,,,
Jesus Lover of My Soul, - ,Offering,2024-05-12 AM @ Durham (Lead: Matt Brown),Jesus Lover of My Soul,,,
Doxology, - ,Offering,2024-05-12 AM @ Durham (Lead: Matt Brown),Doxology,,,
Abide With Me (RUF), - ,Closer,2024-05-12 AM @ Durham (Lead: Matt Brown),Abide With Me (RUF),,,
10000 Reasons (Bless the Lord), - ,Prelude,2024-05-05 AM @ Durham (Lead: Matt Brown),10000 Reasons (Bless the Lord),,,
Let Us Love and Sing and Wonder, - ,Opener,2024-05-05 AM @ Durham (Lead: Matt Brown),Let Us Love and Sing and Wonder,,,
