Name,Notes,Attachments,Services,Songs
Communion,,,,"Ah Holy Jesus,Speak O Lord,Nothing But the Blood,Let Us Love and Sing and Wonder"
Easter,,,,
Holy Week,,,,Ah Holy Jesus
Advent,,,,
Atonement,,,,"Amazing Grace,And Can It Be,Before the Throne of God Above,His Mercy is More"
Sanctification,,,,Approach My Soul the Mercy Seat (Jamie Barnes)
Good Works,,,,"Psalm 19 (May the Words of My Mouth),Take My Life (Tomlin),May the Mind of Christ My Savior,Micah 6:8,Create in Me a Clean Heart,They Will Know We Are Christians By Our Love"
Life Together,,,,Oh How Good It Is (Getty)
Resurrection,,,,"Christ is Risen (Matt Maher),Christ is Risen He is Risen Indeed (Getty),Come People of the Risen King,I Know That My Redeemer Lives - Glory Hallelujah!,In Christ Alone"
Palm Sunday,,,,
Exaltation,,,,"All Creatures of Our God and King,All Hail the Power of Jesus' Name,Be Thou My Vision,Better is One Day,A Mighty Fortress is Our God,Revelation Song,Sing Oh Sky,Doxology,Come Thou Fount,Crown Him With Many Crowns,Everlasting God,Gloria Patri (Ellis)"
Creation,,,,"All Creatures of Our God and King,Sing Oh Sky,So Will I (Hillsong),Children of the Living God (Fernando Ortega)"
Encouragement,,,,"Arise My Soul Arise,Everlasting God"
Grief,,,,"Be Still My Soul,Psalm 126 (Bifrost)"
Money,,,,Be Thou My Vision
Psalms,,,,"Better is One Day,40 (I Will Sing),Psalm 19 (May the Words of My Mouth),Psalm 73 (RUF),Psalm 126 (Bifrost),Psalm 130 / From Depths of Woe (RUF),The King of Love My Shepherd Is (I Am They),The King of Love My Shepherd Is (trad),Create in Me a Clean Heart,God Be Merciful to Me"
Longing,,,,40 (I Will Sing)
Reformation,,,,A Mighty Fortress is Our God
Rest,,,,"Abide With Me (RUF),Come Away from Rush and Hurry (Tune: Come Thou Fount)"
Hardship,,,,"Blessed Be Your Name,Be Still My Soul,40 (I Will Sing)"
Christian History,,,,By Faith
The Church,,,,"By Faith,The Church's One Foundation (RUF),Children of the Living God (Fernando Ortega),Come Christians Join to Sing,Come People of the Risen King,For All the Saints,Oh How Good It Is (Getty),They Will Know We Are Christians By Our Love"
God's Faithfulness,,,,"Great is Thy Faithfulness (Ortega),For All the Saints"
Liturgy,,,,"Doxology,Gloria Patri (Ellis)"
Growth,,,,May the Mind of Christ My Savior
Invitation,,,,"Come All Ye Pining Hungry Poor,Come and Welcome,Come Ye Sinners (E major - not Ortega's)"
Simplicity,,,,Come Away from Rush and Hurry (Tune: Come Thou Fount)
Traditional,,,,"Come Christians Join to Sing,Come Thou Fount,Crown Him With Many Crowns"
Grace,,,,Come Ye Sinners (E major - not Ortega's)
Dependence on Christ,,,,"Give Me Jesus,Jesus What a Friend for Sinners"
Repentance,,,,God Be Merciful to Me
